opt_level,wasm_opt,lto,codegen_units,strip,build_time,wasm_opt_time,size,size_gzipped,frame_time
Z,Both,Off,One,None,55.616394,81.07239,14992898,4924140,32.07
Z,None,Off,One,DebugInfo,54.44,0,26059048,6610748,30.71
Z,S,Off,One,DebugInfo,54.44,80.46365,14987768,4925144,31.27
Z,Z,Off,One,DebugInfo,54.44,80.58978,13917747,4900271,30.79
Z,Three,Off,One,DebugInfo,54.44,87.604256,15177251,4967610,31.55
Z,Both,Off,One,DebugInfo,54.44,81.24227,14987768,4925144,31.91
Z,None,Off,Default,None,41.771122,0,37421251,8031950,28.8
Z,S,Off,Default,None,41.771122,118.43454,18919962,5567026,30.76
Z,Z,Off,Default,None,41.771122,125.15273,17534694,5538412,29.63
Z,Three,Off,Default,None,41.771122,129.12804,19405566,5717912,29
Z,Both,Off,Default,None,41.771122,122.90306,18919962,5567026,30.7
Z,None,Off,Default,DebugInfo,40.573,0,37422962,8029258,29.16
Z,S,Off,Default,DebugInfo,40.573,122.01535,18901863,5565624,30.97
Z,Z,Off,Default,DebugInfo,40.573,124.6564,17517723,5534180,30.16
Z,Three,Off,Default,DebugInfo,40.573,123.78755,19389176,5713426,30.77
Z,Both,Off,Default,DebugInfo,40.573,115.91502,18901863,5565624,29.52
Z,None,Thin,One,None,65.962234,0,25445842,6448010,28.21
Z,S,Thin,One,None,65.962234,76.07448,14868821,4851726,29.32
Z,Z,Thin,One,None,65.962234,76.77015,13762971,4828226,29.47
Z,Three,Thin,One,None,65.962234,80.62041,14940967,4874354,29.13
Z,Both,Thin,One,None,65.962234,73.310524,14868821,4851726,29.55
Z,None,Thin,One,DebugInfo,64.750404,0,25441253,6444870,29.69
Z,S,Thin,One,DebugInfo,64.750404,80.6762,14853434,4845447,29.74
Z,Z,Thin,One,DebugInfo,64.750404,79.735374,13748012,4824085,29.29
Z,Three,Thin,One,DebugInfo,64.750404,79.718285,14925977,4870068,29.95
Z,Both,Thin,One,DebugInfo,64.750404,77.409584,14853434,4845447,29.86
Z,None,Thin,Default,None,62.361862,0,35241787,7676556,27.16
Z,S,Thin,Default,None,62.361862,95.94521,18567683,5510273,27.74
Z,Z,Thin,Default,None,62.361862,94.914505,16808347,5467226,28.72
Z,Three,Thin,Default,None,62.361862,104.62994,18726224,5538876,28.6
Z,Both,Thin,Default,None,62.361862,96.21242,18567683,5510273,28.62
Z,None,Thin,Default,DebugInfo,62.172016,0,35254064,7677419,28.86
Z,S,Thin,Default,DebugInfo,62.172016,95.20717,18566737,5508213,29.37
Z,Z,Thin,Default,DebugInfo,62.172016,99.38947,16806643,5466396,28.54
Z,Three,Thin,Default,DebugInfo,62.172016,95.767944,18725432,5539000,28.54
Z,Both,Thin,Default,DebugInfo,62.172016,95.23873,18566737,5508213,28.68
Z,None,Fat,One,None,148.42834,0,19359180,5558679,28.25
Z,S,Fat,One,None,148.42834,31.676872,13384391,4488010,28.7
Z,Z,Fat,One,None,148.42834,34.087967,12451769,4465233,28.12
Z,Three,Fat,One,None,148.42834,35.807804,13455059,4508737,29.55
Z,Both,Fat,One,None,148.42834,32.77074,13384391,4488010,28.85
Z,None,Fat,One,DebugInfo,147.3792,0,19358881,5559336,27.75
Z,S,Fat,One,DebugInfo,147.3792,32.258533,13383188,4488507,28.39
Z,Z,Fat,One,DebugInfo,147.3792,33.909428,12449199,4465349,27.38
Z,Three,Fat,One,DebugInfo,147.3792,36.11461,13454661,4509600,28.68
Z,Both,Fat,One,DebugInfo,147.3792,32.143402,13383188,4488507,27.99
Z,None,Fat,Default,None,178.493,0,24504741,6237406,27.01
Z,S,Fat,Default,None,178.493,46.227894,15845134,4894429,27.62
Z,Z,Fat,Default,None,178.493,45.878757,14363559,4855158,27.03
Z,Three,Fat,Default,None,178.493,50.325,15939573,4913448,26.21
Z,Both,Fat,Default,None,178.493,47.767254,15845134,4894429,27.55
Z,None,Fat,Default,DebugInfo,178.06628,0,24488844,6236256,27.22
Z,S,Fat,Default,DebugInfo,178.06628,45.21031,15838069,4893553,26.72
Z,Z,Fat,Default,DebugInfo,178.06628,49.49653,14355825,4854485,27.64
Z,Three,Fat,Default,DebugInfo,178.06628,51.05727,15933063,4912758,26.4
Z,Both,Fat,Default,DebugInfo,178.06628,45.422012,15838069,4893553,26.81
Three,None,Off,One,None,0.2508618,0,24488844,6236256,27.08
Three,S,Off,One,None,0.2508618,45.942657,15838069,4893553,26.3
Three,Z,Off,One,None,0.2508618,47.70762,14355825,4854485,27.09
Three,Three,Off,One,None,0.2508618,50.92419,15933063,4912758,27.82
Three,Both,Off,One,None,0.2508618,47.962738,15838069,4893553,26.87
Three,None,Off,One,DebugInfo,0.25167328,0,24488844,6236256,27.06
Three,S,Off,One,DebugInfo,0.25167328,45.797817,15838069,4893553,26.29
Three,Z,Off,One,DebugInfo,0.25167328,47.684162,14355825,4854485,27.22
Three,Three,Off,One,DebugInfo,0.25167328,49.97336,15933063,4912758,27.32
Three,Both,Off,One,DebugInfo,0.25167328,45.196186,15838069,4893553,26.43
Three,None,Off,Default,None,0.2632968,0,24488844,6236256,27.43
Three,S,Off,Default,None,0.2632968,43.969036,15838069,4893553,26.34
Three,Z,Off,Default,None,0.2632968,46.99525,14355825,4854485,27.77
Three,Three,Off,Default,None,0.2632968,48.421963,15933063,4912758,28.14
Three,Both,Off,Default,None,0.2632968,45.254433,15838069,4893553,27.15
Three,None,Off,Default,DebugInfo,0.2504811,0,24488844,6236256,27
Three,S,Off,Default,DebugInfo,0.2504811,45.18697,15838069,4893553,26.68
Three,Z,Off,Default,DebugInfo,0.2504811,47.527996,14355825,4854485,27.42
Three,Three,Off,Default,DebugInfo,0.2504811,50.17394,15933063,4912758,27.99
Three,Both,Off,Default,DebugInfo,0.2504811,43.789864,15838069,4893553,26.86
Three,None,Thin,One,None,0.2560636,0,24488844,6236256,27.08
Three,S,Thin,One,None,0.2560636,45.515415,15838069,4893553,25.86
Three,Z,Thin,One,None,0.2560636,48.747818,14355825,4854485,27.53
Three,Three,Thin,One,None,0.2560636,50.145123,15933063,4912758,28.01
Three,Both,Thin,One,None,0.2560636,46.930943,15838069,4893553,26.74
Three,None,Thin,One,DebugInfo,0.2689378,0,24488844,6236256,26.7
Three,S,Thin,One,DebugInfo,0.2689378,43.60184,15838069,4893553,26.19
Three,Z,Thin,One,DebugInfo,0.2689378,46.102364,14355825,4854485,26.63
Three,Three,Thin,One,DebugInfo,0.2689378,52.55473,15933063,4912758,27.86
Three,Both,Thin,One,DebugInfo,0.2689378,45.97765,15838069,4893553,27.32
Three,None,Thin,Default,None,0.25256,0,24488844,6236256,27.04
Three,S,Thin,Default,None,0.25256,45.321934,15838069,4893553,26.3
Three,Z,Thin,Default,None,0.25256,47.598457,14355825,4854485,26.65
Three,Three,Thin,Default,None,0.25256,50.6065,15933063,4912758,28.11
Three,Both,Thin,Default,None,0.25256,48.00829,15838069,4893553,27
Three,None,Thin,Default,DebugInfo,0.2570518,0,24488844,6236256,27.15
Three,S,Thin,Default,DebugInfo,0.2570518,45.76744,15838069,4893553,26.24
Three,Z,Thin,Default,DebugInfo,0.2570518,45.456272,14355825,4854485,26.78
Three,Three,Thin,Default,DebugInfo,0.2570518,50.494984,15933063,4912758,28.3
Three,Both,Thin,Default,DebugInfo,0.2570518,44.507862,15838069,4893553,27.24
Three,None,Fat,One,None,0.2548948,0,24488844,6236256,27.47
Three,S,Fat,One,None,0.2548948,45.40861,15838069,4893553,25.86
Three,Z,Fat,One,None,0.2548948,47.037266,14355825,4854485,26.49
Three,Three,Fat,One,None,0.2548948,52.882698,15933063,4912758,27.69
Three,Both,Fat,One,None,0.2548948,44.54445,15838069,4893553,27.13
Three,None,Fat,One,DebugInfo,0.2568443,0,24488844,6236256,26.86
Three,S,Fat,One,DebugInfo,0.2568443,45.69915,15838069,4893553,25.98
Three,Z,Fat,One,DebugInfo,0.2568443,47.52281,14355825,4854485,27.03
Three,Three,Fat,One,DebugInfo,0.2568443,49.05531,15933063,4912758,28.08
Three,Both,Fat,One,DebugInfo,0.2568443,45.7407,15838069,4893553,26.47
Three,None,Fat,Default,None,0.2522443,0,24488844,6236256,27.15
Three,S,Fat,Default,None,0.2522443,47.1505,15838069,4893553,26.53
Three,Z,Fat,Default,None,0.2522443,45.391705,14355825,4854485,26.55
Three,Three,Fat,Default,None,0.2522443,48.35569,15933063,4912758,27.86
Three,Both,Fat,Default,None,0.2522443,45.962063,15838069,4893553,26.63
Three,None,Fat,Default,DebugInfo,0.258426,0,24488844,6236256,27.16
Three,S,Fat,Default,DebugInfo,0.258426,44.322495,15838069,4893553,27.92
Three,Z,Fat,Default,DebugInfo,0.258426,47.814095,14355825,4854485,26.71
Three,Three,Fat,Default,DebugInfo,0.258426,50.7823,15933063,4912758,28.05
Three,Both,Fat,Default,DebugInfo,0.258426,45.7443,15838069,4893553,27
