opt_level,wasm_opt,lto,codegen_units,strip,panic,build_time,wasm_opt_time,size,size_gzipped,frame_time
S,Both,Thin,One,None,Unwind,164.67184,83.445335,25185305,7441313,26.33
S,None,Thin,One,None,Abort,171.23308,0,38821429,9048468,27.24
S,S,Thin,One,None,Abort,171.23308,84.94446,25179561,7438976,27.34
S,Z,Thin,One,None,Abort,171.23308,86.786964,22587520,7367948,27.06
S,Three,Thin,One,None,Abort,171.23308,85.12102,25200180,7448763,27.45
S,Both,Thin,One,None,Abort,171.23308,83.43558,25179561,7438976,26.86
S,None,Thin,One,DebugInfo,Unwind,169.78833,0,38830588,9051616,27.51
S,S,Thin,One,DebugInfo,Unwind,169.78833,82.03187,25185305,7441313,26.22
S,Z,Thin,One,DebugInfo,Unwind,169.78833,86.81855,22589786,7373034,26.54
S,Three,Thin,One,DebugInfo,Unwind,169.78833,84.26886,25206246,7453559,26.45
S,Both,Thin,One,DebugInfo,Unwind,169.78833,81.93791,25185305,7441313,26.56
S,None,Thin,One,DebugInfo,Abort,184.76302,0,38821429,9048468,25.85
S,S,Thin,One,DebugInfo,Abort,184.76302,80.97536,25179561,7438976,26.71
S,Z,Thin,One,DebugInfo,Abort,184.76302,84.76299,22587520,7367948,26.1
S,Three,Thin,One,DebugInfo,Abort,184.76302,86.598274,25200180,7448763,25.7
S,Both,Thin,One,DebugInfo,Abort,184.76302,80.78968,25179561,7438976,26.08
S,None,Thin,Default,None,Unwind,137.1893,0,55502757,11041419,25.83
S,S,Thin,Default,None,Unwind,137.1893,111.36215,31571285,8547683,25.36
S,Z,Thin,Default,None,Unwind,137.1893,113.92986,27060844,8403589,27.24
S,Three,Thin,Default,None,Unwind,137.1893,111.693665,31625169,8570478,26.32
S,Both,Thin,Default,None,Unwind,137.1893,109.83863,31571285,8547683,26.73
S,None,Thin,Default,None,Abort,137.75835,0,55498671,11047656,26.65
S,S,Thin,Default,None,Abort,137.75835,112.50506,31567051,8550017,26.02
S,Z,Thin,Default,None,Abort,137.75835,113.874016,27054302,8406624,26.4
S,Three,Thin,Default,None,Abort,137.75835,117.845345,31618789,8572877,25.11
S,Both,Thin,Default,None,Abort,137.75835,112.17297,31567051,8550017,26.5
S,None,Thin,Default,DebugInfo,Unwind,133.7126,0,55502757,11041419,27.12
S,S,Thin,Default,DebugInfo,Unwind,133.7126,108.75856,31571285,8547683,26.67
S,Z,Thin,Default,DebugInfo,Unwind,133.7126,113.40687,27060844,8403589,26.05
S,Three,Thin,Default,DebugInfo,Unwind,133.7126,113.4218,31625169,8570478,27.84
S,Both,Thin,Default,DebugInfo,Unwind,133.7126,112.41614,31571285,8547683,26.21
S,None,Thin,Default,DebugInfo,Abort,132.62332,0,55498671,11047656,27.98
S,S,Thin,Default,DebugInfo,Abort,132.62332,112.46605,31567051,8550017,26.95
S,Z,Thin,Default,DebugInfo,Abort,132.62332,113.442055,27054302,8406624,26.97
S,Three,Thin,Default,DebugInfo,Abort,132.62332,115.10565,31618789,8572877,26.44
S,Both,Thin,Default,DebugInfo,Abort,132.62332,111.987946,31567051,8550017,27.26
S,None,Fat,One,None,Unwind,366.82922,0,31584276,8271425,24.73
S,S,Fat,One,None,Unwind,366.82922,43.363724,22590217,6806047,26.28
S,Z,Fat,One,None,Unwind,366.82922,45.42438,20394401,6731809,26.6
S,Three,Fat,One,None,Unwind,366.82922,44.37137,22613433,6812368,24.76
S,Both,Fat,One,None,Unwind,366.82922,42.55355,22590217,6806047,25.32
S,None,Fat,One,None,Abort,370.73062,0,31642166,8278803,26.11
S,S,Fat,One,None,Abort,370.73062,43.41026,22622286,6810802,26.26
S,Z,Fat,One,None,Abort,370.73062,46.10829,20426490,6737898,25.68
S,Three,Fat,One,None,Abort,370.73062,45.73373,22645447,6816596,26.05
S,Both,Fat,One,None,Abort,370.73062,43.45272,22622286,6810802,26.43
S,None,Fat,One,DebugInfo,Unwind,366.25024,0,31584276,8271425,26.38
S,S,Fat,One,DebugInfo,Unwind,366.25024,43.48813,22590217,6806047,26.36
S,Z,Fat,One,DebugInfo,Unwind,366.25024,45.43695,20394401,6731809,26.3
S,Three,Fat,One,DebugInfo,Unwind,366.25024,47.397217,22613433,6812368,25.51
S,Both,Fat,One,DebugInfo,Unwind,366.25024,42.627007,22590217,6806047,27.54
S,None,Fat,One,DebugInfo,Abort,370.81854,0,31642166,8278803,25.56
S,S,Fat,One,DebugInfo,Abort,370.81854,44.3502,22622286,6810802,25.27
S,Z,Fat,One,DebugInfo,Abort,370.81854,45.021557,20426490,6737898,25.44
S,Three,Fat,One,DebugInfo,Abort,370.81854,44.99562,22645447,6816596,26.91
S,Both,Fat,One,DebugInfo,Abort,370.81854,44.03325,22622286,6810802,25.8
S,None,Fat,Default,None,Unwind,423.98163,0,40438501,9465912,27.43
S,S,Fat,Default,None,Unwind,423.98163,59.850468,26102458,7429442,25.68
S,Z,Fat,Default,None,Unwind,423.98163,63.360893,23420643,7338800,27.85
S,Three,Fat,Default,None,Unwind,423.98163,63.298454,26127019,7440810,25.73
S,Both,Fat,Default,None,Unwind,423.98163,61.060688,26102458,7429442,26.78
S,None,Fat,Default,None,Abort,418.1063,0,40379264,9462456,27
S,S,Fat,Default,None,Abort,418.1063,59.017834,26071760,7424903,25.11
S,Z,Fat,Default,None,Abort,418.1063,63.734245,23382782,7334564,27.23
S,Three,Fat,Default,None,Abort,418.1063,64.35006,26096318,7435635,26.19
S,Both,Fat,Default,None,Abort,418.1063,60.508747,26071760,7424903,26.62
S,None,Fat,Default,DebugInfo,Unwind,418.54657,0,40438501,9465912,25.14
S,S,Fat,Default,DebugInfo,Unwind,418.54657,61.12862,26102458,7429442,27.29
S,Z,Fat,Default,DebugInfo,Unwind,418.54657,63.137695,23420643,7338800,28.1
S,Three,Fat,Default,DebugInfo,Unwind,418.54657,64.65633,26127019,7440810,26.89
S,Both,Fat,Default,DebugInfo,Unwind,418.54657,61.452873,26102458,7429442,27.62
S,None,Fat,Default,DebugInfo,Abort,414.80197,0,40379264,9462456,26.3
S,S,Fat,Default,DebugInfo,Abort,414.80197,60.91814,26071760,7424903,26.77
S,Z,Fat,Default,DebugInfo,Abort,414.80197,65.27374,23382782,7334564,26.43
S,Three,Fat,Default,DebugInfo,Abort,414.80197,62.07192,26096318,7435635,26.45
S,Both,Fat,Default,DebugInfo,Abort,414.80197,61.11131,26071760,7424903,27.81
Z,None,Off,One,None,Unwind,122.74199,0,38339409,9157170,37.46
Z,S,Off,One,None,Unwind,122.74199,124.29512,21348631,6621173,39.45
Z,Z,Off,One,None,Unwind,122.74199,133.35579,19917093,6600073,36.97
Z,Three,Off,One,None,Unwind,122.74199,133.2311,21747505,6687429,38.44
Z,Both,Off,One,None,Unwind,122.74199,123.37463,21348631,6621173,39.14
Z,None,Off,One,None,Abort,122.34423,0,38347249,9158492,38.01
Z,S,Off,One,None,Abort,122.34423,120.46844,21363951,6622743,38.92
Z,Z,Off,One,None,Abort,122.34423,127.353806,19936695,6604129,38.8
Z,Three,Off,One,None,Abort,122.34423,124.95867,21762780,6689669,37.54
Z,Both,Off,One,None,Abort,122.34423,123.3636,21363951,6622743,38.17
Z,None,Off,One,DebugInfo,Unwind,120.40537,0,38339409,9157170,38.53
Z,S,Off,One,DebugInfo,Unwind,120.40537,124.16041,21348631,6621173,36.86
Z,Z,Off,One,DebugInfo,Unwind,120.40537,128.16039,19917093,6600073,38.04
Z,Three,Off,One,DebugInfo,Unwind,120.40537,128.35892,21747505,6687429,39.79
Z,Both,Off,One,DebugInfo,Unwind,120.40537,123.026115,21348631,6621173,36.47
Z,None,Off,One,DebugInfo,Abort,121.38098,0,38347249,9158492,39.14
Z,S,Off,One,DebugInfo,Abort,121.38098,123.49626,21363951,6622743,37.88
Z,Z,Off,One,DebugInfo,Abort,121.38098,132.69835,19936695,6604129,35.24
Z,Three,Off,One,DebugInfo,Abort,121.38098,129.16502,21762780,6689669,38.89
Z,Both,Off,One,DebugInfo,Abort,121.38098,120.323296,21363951,6622743,39.31
Z,None,Off,Default,None,Unwind,88.14887,0,58368484,11788625,38.28
Z,S,Off,Default,None,Unwind,88.14887,189.24586,27567829,7730580,37.94
Z,Z,Off,Default,None,Unwind,88.14887,193.14615,25515217,7686724,38.65
Z,Three,Off,Default,None,Unwind,88.14887,193.76945,28417003,7962037,37.52
Z,Both,Off,Default,None,Unwind,88.14887,192.80254,27567829,7730580,39.48
Z,None,Off,Default,None,Abort,88.80791,0,58379263,11788685,39.09
Z,S,Off,Default,None,Abort,88.80791,187.48131,27575561,7731221,36.16
Z,Z,Off,Default,None,Abort,88.80791,198.83122,25517000,7687486,36.29
Z,Three,Off,Default,None,Abort,88.80791,199.54362,28425165,7960498,37.46
Z,Both,Off,Default,None,Abort,88.80791,191.1329,27575561,7731221,38.12
Z,None,Off,Default,DebugInfo,Unwind,83.23889,0,58368484,11788625,39.92
Z,S,Off,Default,DebugInfo,Unwind,83.23889,201.51025,27567829,7730580,38.88
Z,Z,Off,Default,DebugInfo,Unwind,83.23889,193.5374,25515217,7686724,38.24
Z,Three,Off,Default,DebugInfo,Unwind,83.23889,193.2042,28417003,7962037,37.34
Z,Both,Off,Default,DebugInfo,Unwind,83.23889,191.7031,27567829,7730580,38.05
Z,None,Off,Default,DebugInfo,Abort,85.45551,0,58379263,11788685,38.16
Z,S,Off,Default,DebugInfo,Abort,85.45551,190.06055,27575561,7731221,38.15
Z,Z,Off,Default,DebugInfo,Abort,85.45551,200.33728,25517000,7687486,38.14
Z,Three,Off,Default,DebugInfo,Abort,85.45551,206.93782,28425165,7960498,38.4
Z,Both,Off,Default,DebugInfo,Abort,85.45551,193.75389,27575561,7731221,37.55
Z,None,Thin,One,None,Unwind,144.46573,0,37439488,8957233,37.92
Z,S,Thin,One,None,Unwind,144.46573,120.34399,21152841,6539089,36.48
Z,Z,Thin,One,None,Unwind,144.46573,121.368515,19691698,6516599,37.88
Z,Three,Thin,One,None,Unwind,144.46573,125.65923,21242390,6566069,38.01
Z,Both,Thin,One,None,Unwind,144.46573,116.42768,21152841,6539089,37.9
Z,None,Thin,One,None,Abort,144.07924,0,37471422,8959078,38.56
Z,S,Thin,One,None,Abort,144.07924,117.678795,21186781,6550263,37.67
Z,Z,Thin,One,None,Abort,144.07924,123.71195,19709454,6524662,38.62
Z,Three,Thin,One,None,Abort,144.07924,120.37986,21276765,6574857,36.61
Z,Both,Thin,One,None,Abort,144.07924,119.281654,21186781,6550263,37.9
Z,None,Thin,One,DebugInfo,Unwind,142.46916,0,37439488,8957233,37.71
Z,S,Thin,One,DebugInfo,Unwind,142.46916,117.77815,21152841,6539089,37.32
Z,Z,Thin,One,DebugInfo,Unwind,142.46916,120.91995,19691698,6516599,37.74
Z,Three,Thin,One,DebugInfo,Unwind,142.46916,119.88337,21242390,6566069,38.96
Z,Both,Thin,One,DebugInfo,Unwind,142.46916,118.50642,21152841,6539089,37.15
Z,None,Thin,One,DebugInfo,Abort,142.44185,0,37471422,8959078,39.68
Z,S,Thin,One,DebugInfo,Abort,142.44185,115.964676,21186781,6550263,36.64
Z,Z,Thin,One,DebugInfo,Abort,142.44185,123.82913,19709454,6524662,35.12
Z,Three,Thin,One,DebugInfo,Abort,142.44185,121.751144,21276765,6574857,38.77
Z,Both,Thin,One,DebugInfo,Abort,142.44185,123.17181,21186781,6550263,37.5
Z,None,Thin,Default,None,Unwind,125.78922,0,54446006,11166614,35.08
Z,S,Thin,Default,None,Unwind,125.78922,159.82542,26824268,7661697,34.02
Z,Z,Thin,Default,None,Unwind,125.78922,164.45969,24529851,7601030,33.49
Z,Three,Thin,Default,None,Unwind,125.78922,171.97844,27014718,7701992,34.31
Z,Both,Thin,Default,None,Unwind,125.78922,159.6935,26824268,7661697,34.4
Z,None,Thin,Default,None,Abort,125.885086,0,54445427,11164220,36.17
Z,S,Thin,Default,None,Abort,125.885086,159.28362,26834239,7663635,34.56
Z,Z,Thin,Default,None,Abort,125.885086,162.0028,24537520,7601546,32.69
Z,Three,Thin,Default,None,Abort,125.885086,163.39627,27025038,7705048,35.68
Z,Both,Thin,Default,None,Abort,125.885086,163.34862,26834239,7663635,35.27
Z,None,Thin,Default,DebugInfo,Unwind,120.569534,0,54446006,11166614,34.05
Z,S,Thin,Default,DebugInfo,Unwind,120.569534,155.7734,26824268,7661697,34.55
Z,Z,Thin,Default,DebugInfo,Unwind,120.569534,164.70403,24529851,7601030,36.07
Z,Three,Thin,Default,DebugInfo,Unwind,120.569534,165.43147,27014718,7701992,33.46
Z,Both,Thin,Default,DebugInfo,Unwind,120.569534,167.49,26824268,7661697,34.33
Z,None,Thin,Default,DebugInfo,Abort,122.15693,0,54445427,11164220,36.09
Z,S,Thin,Default,DebugInfo,Abort,122.15693,158.10881,26834239,7663635,33.51
Z,Z,Thin,Default,DebugInfo,Abort,122.15693,164.02277,24537520,7601546,35.1
Z,Three,Thin,Default,DebugInfo,Abort,122.15693,163.77995,27025038,7705048,34.86
Z,Both,Thin,Default,DebugInfo,Abort,122.15693,159.67773,26834239,7663635,33.82
Z,None,Fat,One,None,Unwind,278.4211,0,28253673,7664474,37.69
Z,S,Fat,One,None,Unwind,278.4211,57.935677,18745499,5976692,37.64
Z,Z,Fat,One,None,Unwind,278.4211,59.828705,17547288,5948351,35.16
Z,Three,Fat,One,None,Unwind,278.4211,56.30695,18829225,5996587,37.04
Z,Both,Fat,One,None,Unwind,278.4211,57.172737,18745499,5976692,37.37
Z,None,Fat,One,None,Abort,301.23666,0,28267002,7667348,38.61
Z,S,Fat,One,None,Abort,301.23666,54.836437,18751438,5978128,36.22
Z,Z,Fat,One,None,Abort,301.23666,57.593384,17559604,5949531,37.74
Z,Three,Fat,One,None,Abort,301.23666,58.06559,18835254,5997614,38.02
Z,Both,Fat,One,None,Abort,301.23666,57.22896,18751438,5978128,37.08
Z,None,Fat,One,DebugInfo,Unwind,280.57938,0,28253673,7664474,35.84
Z,S,Fat,One,DebugInfo,Unwind,280.57938,57.9776,18745499,5976692,37.15
Z,Z,Fat,One,DebugInfo,Unwind,280.57938,56.73341,17547288,5948351,36.63
Z,Three,Fat,One,DebugInfo,Unwind,280.57938,57.360477,18829225,5996587,37.81
Z,Both,Fat,One,DebugInfo,Unwind,280.57938,57.661118,18745499,5976692,34.87
Z,None,Fat,One,DebugInfo,Abort,275.74478,0,28267002,7667348,36.61
Z,S,Fat,One,DebugInfo,Abort,275.74478,55.534348,18751438,5978128,37.13
Z,Z,Fat,One,DebugInfo,Abort,275.74478,58.64797,17559604,5949531,35.06
Z,Three,Fat,One,DebugInfo,Abort,275.74478,57.75907,18835254,5997614,37.27
Z,Both,Fat,One,DebugInfo,Abort,275.74478,56.103046,18751438,5978128,36.18
Z,None,Fat,Default,None,Unwind,347.22324,0,36980513,8901750,34.22
Z,S,Fat,Default,None,Unwind,347.22324,71.43868,22254748,6650036,33.58
Z,Z,Fat,Default,None,Unwind,347.22324,72.744286,20707287,6613748,34.06
Z,Three,Fat,Default,None,Unwind,347.22324,73.66594,22344981,6675774,33.99
Z,Both,Fat,Default,None,Unwind,347.22324,73.3598,22254748,6650036,33.79
Z,None,Fat,Default,None,Abort,324.57162,0,36964244,8899037,33.9
Z,S,Fat,Default,None,Abort,324.57162,70.98146,22241663,6645547,33.99
Z,Z,Fat,Default,None,Abort,324.57162,74.2383,20691706,6609049,33.22
Z,Three,Fat,Default,None,Abort,324.57162,76.44843,22329558,6667085,35.15
Z,Both,Fat,Default,None,Abort,324.57162,71.09633,22241663,6645547,35.64
Z,None,Fat,Default,DebugInfo,Unwind,337.9466,0,36980513,8901750,33.41
Z,S,Fat,Default,DebugInfo,Unwind,337.9466,71.81198,22254748,6650036,33.91
Z,Z,Fat,Default,DebugInfo,Unwind,337.9466,73.898796,20707287,6613748,33.15
Z,Three,Fat,Default,DebugInfo,Unwind,337.9466,74.19958,22344981,6675774,33.16
Z,Both,Fat,Default,DebugInfo,Unwind,337.9466,70.71182,22254748,6650036,33.84
Z,None,Fat,Default,DebugInfo,Abort,335.84174,0,36964244,8899037,34.15
Z,S,Fat,Default,DebugInfo,Abort,335.84174,74.18861,22241663,6645547,33.71
Z,Z,Fat,Default,DebugInfo,Abort,335.84174,73.391304,20691706,6609049,34.56
Z,Three,Fat,Default,DebugInfo,Abort,335.84174,72.27902,22329558,6667085,32.32
Z,Both,Fat,Default,DebugInfo,Abort,335.84174,69.11581,22241663,6645547,33.55
Three,None,Off,One,None,Unwind,194.42436,0,45035258,10689129,24.69
Three,S,Off,One,None,Unwind,194.42436,68.05507,32069208,8830334,23.09
Three,Z,Off,One,None,Unwind,194.42436,70.77287,28085278,8707673,22.98
Three,Three,Off,One,None,Unwind,194.42436,75.04933,32325615,8836419,23.18
Three,Both,Off,One,None,Unwind,194.42436,66.21616,32069208,8830334,22.41
Three,None,Off,One,None,Abort,189.54057,0,45035793,10687915,22.33
Three,S,Off,One,None,Abort,189.54057,67.77144,32068510,8828969,21.94
Three,Z,Off,One,None,Abort,189.54057,72.64656,28084684,8707248,22.76
Three,Three,Off,One,None,Abort,189.54057,76.97117,32324935,8834901,23.58
Three,Both,Off,One,None,Abort,189.54057,66.32694,32068510,8828969,23.15
Three,None,Off,One,DebugInfo,Unwind,189.20587,0,45035258,10689129,23.03
Three,S,Off,One,DebugInfo,Unwind,189.20587,67.132286,32069208,8830334,23.1
Three,Z,Off,One,DebugInfo,Unwind,189.20587,70.62343,28085278,8707673,22.63
Three,Three,Off,One,DebugInfo,Unwind,189.20587,74.38812,32325615,8836419,23.24
Three,Both,Off,One,DebugInfo,Unwind,189.20587,67.29101,32069208,8830334,21.42
Three,None,Off,One,DebugInfo,Abort,190.59555,0,45035793,10687915,22.84
Three,S,Off,One,DebugInfo,Abort,190.59555,66.97162,32068510,8828969,23.36
Three,Z,Off,One,DebugInfo,Abort,190.59555,70.50099,28084684,8707248,23.4
Three,Three,Off,One,DebugInfo,Abort,190.59555,75.58753,32324935,8834901,22.84
Three,Both,Off,One,DebugInfo,Abort,190.59555,65.78267,32068510,8828969,23.23
Three,None,Off,Default,None,Unwind,96.27689,0,64523696,12966113,29.03
Three,S,Off,Default,None,Unwind,96.27689,151.91154,37487010,9984195,28.55
Three,Z,Off,Default,None,Unwind,96.27689,160.38132,33333271,9858442,27.55
Three,Three,Off,Default,None,Unwind,96.27689,154.41937,37892323,10037047,27.96
Three,Both,Off,Default,None,Unwind,96.27689,147.69302,37487010,9984195,28.03
Three,None,Off,Default,None,Abort,95.65513,0,64518704,12971735,29.06
Three,S,Off,Default,None,Abort,95.65513,153.99437,37486551,9984260,27.96
Three,Z,Off,Default,None,Abort,95.65513,151.0512,33341113,9860063,29.13
Three,Three,Off,Default,None,Abort,95.65513,153.99326,37891719,10036190,29.26
Three,Both,Off,Default,None,Abort,95.65513,147.68051,37486551,9984260,27.33
Three,None,Off,Default,DebugInfo,Unwind,91.41298,0,64523696,12966113,26.93
Three,S,Off,Default,DebugInfo,Unwind,91.41298,149.02287,37487010,9984195,27.63
Three,Z,Off,Default,DebugInfo,Unwind,91.41298,152.44447,33333271,9858442,26.45
Three,Three,Off,Default,DebugInfo,Unwind,91.41298,155.54585,37892323,10037047,29.12
Three,Both,Off,Default,DebugInfo,Unwind,91.41298,145.92427,37487010,9984195,28.01
Three,None,Off,Default,DebugInfo,Abort,91.389854,0,64518704,12971735,29.83
Three,S,Off,Default,DebugInfo,Abort,91.389854,143.65555,37486551,9984260,29.46
Three,Z,Off,Default,DebugInfo,Abort,91.389854,152.26003,33341113,9860063,28.73
Three,Three,Off,Default,DebugInfo,Abort,91.389854,159.90816,37891719,10036190,26.34
Three,Both,Off,Default,DebugInfo,Abort,91.389854,146.3178,37486551,9984260,27.86
Three,None,Thin,One,None,Unwind,235.4111,0,51527203,11434429,23.04
Three,S,Thin,One,None,Unwind,235.4111,60.7616,37013446,9529933,22.23
Three,Z,Thin,One,None,Unwind,235.4111,65.58821,31889092,9379907,23.07
Three,Three,Thin,One,None,Unwind,235.4111,68.03395,37071529,9535563,22.95
Three,Both,Thin,One,None,Unwind,235.4111,60.89723,37013446,9529933,21.95
Three,None,Thin,One,None,Abort,236.21071,0,51530633,11433585,24.16
Three,S,Thin,One,None,Abort,236.21071,62.292614,37015756,9531077,22.11
Three,Z,Thin,One,None,Abort,236.21071,65.33263,31891598,9382254,24.21
Three,Three,Thin,One,None,Abort,236.21071,66.4365,37073840,9536632,23.13
Three,Both,Thin,One,None,Abort,236.21071,59.242146,37015756,9531077,22.32
Three,None,Thin,One,DebugInfo,Unwind,227.20291,0,51527203,11434429,22.86
Three,S,Thin,One,DebugInfo,Unwind,227.20291,61.25611,37013446,9529933,23.15
Three,Z,Thin,One,DebugInfo,Unwind,227.20291,68.07378,31889092,9379907,23.31
Three,Three,Thin,One,DebugInfo,Unwind,227.20291,68.30343,37071529,9535563,23.09
Three,Both,Thin,One,DebugInfo,Unwind,227.20291,60.55749,37013446,9529933,21.81
Three,None,Thin,One,DebugInfo,Abort,231.11102,0,51530633,11433585,23.08
Three,S,Thin,One,DebugInfo,Abort,231.11102,60.4878,37015756,9531077,22.83
Three,Z,Thin,One,DebugInfo,Abort,231.11102,64.55377,31891598,9382254,23.6
Three,Three,Thin,One,DebugInfo,Abort,231.11102,66.71613,37073840,9536632,22.85
Three,Both,Thin,One,DebugInfo,Abort,231.11102,62.55406,37015756,9531077,23.6
Three,None,Thin,Default,None,Unwind,150.84425,0,70903559,13437922,23.37
Three,S,Thin,Default,None,Unwind,150.84425,96.9236,45627069,11357100,23.25
Three,Z,Thin,Default,None,Unwind,150.84425,103.43844,38580789,11150449,24.08
Three,Three,Thin,Default,None,Unwind,150.84425,99.70081,45684237,11382065,23.47
Three,Both,Thin,Default,None,Unwind,150.84425,94.66273,45627069,11357100,23.66
Three,None,Thin,Default,None,Abort,151.50005,0,70915830,13437741,23.39
Three,S,Thin,Default,None,Abort,151.50005,95.588066,45634807,11352864,24.56
Three,Z,Thin,Default,None,Abort,151.50005,99.90135,38582603,11145497,23.65
Three,Three,Thin,Default,None,Abort,151.50005,101.58653,45691307,11377338,23.54
Three,Both,Thin,Default,None,Abort,151.50005,95.54147,45634807,11352864,24.47
Three,None,Thin,Default,DebugInfo,Unwind,150.10605,0,70903559,13437922,23.57
Three,S,Thin,Default,DebugInfo,Unwind,150.10605,96.89622,45627069,11357100,25.24
Three,Z,Thin,Default,DebugInfo,Unwind,150.10605,99.974976,38580789,11150449,23.8
Three,Three,Thin,Default,DebugInfo,Unwind,150.10605,102.38482,45684237,11382065,23.79
Three,Both,Thin,Default,DebugInfo,Unwind,150.10605,92.68085,45627069,11357100,23.45
Three,None,Thin,Default,DebugInfo,Abort,145.34546,0,70915830,13437741,22.69
Three,S,Thin,Default,DebugInfo,Abort,145.34546,95.28454,45634807,11352864,24.54
Three,Z,Thin,Default,DebugInfo,Abort,145.34546,99.46686,38582603,11145497,24.09
Three,Three,Thin,Default,DebugInfo,Abort,145.34546,101.20696,45691307,11377338,25.08
Three,Both,Thin,Default,DebugInfo,Abort,145.34546,97.93663,45634807,11352864,24.08
Three,None,Fat,One,None,Unwind,485.57687,0,44321847,10388401,22.67
Three,S,Fat,One,None,Unwind,485.57687,45.90982,32989365,8806983,22.3
Three,Z,Fat,One,None,Unwind,485.57687,49.49067,28553404,8676395,23.22
Three,Three,Fat,One,None,Unwind,485.57687,50.138096,33026146,8816713,22.95
Three,Both,Fat,One,None,Unwind,485.57687,47.26467,32989365,8806983,22.9
Three,None,Fat,One,None,Abort,466.95132,0,44322461,10388760,24.96
Three,S,Fat,One,None,Abort,466.95132,45.817703,32989762,8807381,22.89
Three,Z,Fat,One,None,Abort,466.95132,49.55234,28555853,8677340,21.33
Three,Three,Fat,One,None,Abort,466.95132,50.43095,33026543,8817659,23.14
Three,Both,Fat,One,None,Abort,466.95132,45.520435,32989762,8807381,22.25
Three,None,Fat,One,DebugInfo,Unwind,464.48474,0,44321847,10388401,23.88
Three,S,Fat,One,DebugInfo,Unwind,464.48474,45.198555,32989365,8806983,22.87
Three,Z,Fat,One,DebugInfo,Unwind,464.48474,49.56492,28553404,8676395,23.1
